measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
fedavg-ctk,call-graph,priority-macro,,own-domain,0.05,9,0.1482854156448229,0.11733447591751198,0.1847773425104218
fedavg-ctk,lamda-static,contrast-macro,,federation-wide,0.05,10,0.22631120485925357,0.20549224116346274,0.24536712123001142
fedavg-ctk,lamda-static,contrast-macro,,own-domain,0.05,10,0.15687018127993624,0.08371810639030845,0.24282904399577276
fedavg-ctk,lamda-static,family,adwo,federation-wide,0.05,10,0.06494281472118532,0.038570643723577845,0.1005914241705148
fedavg-ctk,lamda-static,family,adwo,own-domain,0.05,8,0.08647646055905986,0.051316868684288204,0.13862673747781704
fedavg-ctk,lamda-static,family,airpush,federation-wide,0.05,10,0.3065825986072833,0.2606242042543739,0.3453653832677336
fedavg-ctk,lamda-static,family,airpush,own-domain,0.05,10,0.235415812040123,0.12676162825983675,0.3663911940685251
fedavg-ctk,lamda-static,family,dowgin,federation-wide,0.05,10,0.017060042440503485,0.009089103095194543,0.027651420016208815
fedavg-ctk,lamda-static,family,dowgin,own-domain,0.05,9,-0.031443844936498426,-0.1446424717995271,0.013942014014240067
fedavg-ctk,lamda-static,family,gappusin,federation-wide,0.05,10,0.1546333909422769,0.1132717346462589,0.24390993347397194
fedavg-ctk,lamda-static,family,gappusin,own-domain,0.05,6,0.09330232944685168,0.042361111111111106,0.12582280599190007
fedavg-ctk,lamda-static,family,hiddad,federation-wide,0.05,10,0.08833766986435496,0.028802604313087503,0.23996276247997997
fedavg-ctk,lamda-static,family,hiddad,own-domain,0.05,8,0.015457505679177655,-0.02590254464068504,0.05120385231625434
fedavg-ctk,lamda-static,family,leadbolt,federation-wide,0.05,10,0.3552909735299739,0.2980106889500823,0.42135687283469286
fedavg-ctk,lamda-static,family,leadbolt,own-domain,0.05,7,0.26111768340569197,0.2134465384708477,0.32329923755382584
fedavg-ctk,lamda-static,family,revmob,federation-wide,0.05,10,0.25792375630485254,0.1875415623755032,0.3168987737042396
fedavg-ctk,lamda-static,family,revmob,own-domain,0.05,8,0.18387254901960784,0.09829808704921085,0.3694180078837316
fedavg-ctk,lamda-static,priority-macro,,federation-wide,0.05,10,0.16696493903716145,0.13330959105987744,0.19846478283448227
fedavg-ctk,lamda-static,priority-macro,,own-domain,0.05,9,0.08912893872317866,0.05600690891987073,0.14364073681766737
fedavg-ctk,mcndroid-static,contrast-macro,,federation-wide,0.05,10,0.21408932162318148,0.18927742003382836,0.24633990116211277
fedavg-ctk,mcndroid-static,contrast-macro,,own-domain,0.05,10,0.21197515926609983,0.1381046053317567,0.2700644401710203
fedavg-ctk,mcndroid-static,family,adwo,federation-wide,0.05,10,0.16800464111795427,0.1441129782620379,0.19187698103275375
